#Name:edgeList 
#@author: Miao,Linh
13 23
23 13
13 14
14 13
14 24
24 14
14 15
15 14
15 25
25 15
21 31
31 21
21 22
22 21
22 32
32 22
22 23
23 22
23 33
33 23
23 24
24 23
24 34
34 24
24 25
25 24
25 35
35 25
25 26
26 25
31 41
41 31
31 32
32 31
32 42
42 32
32 33
33 32
33 43
43 33
33 34
34 33
34 44
44 34
34 35
35 34
35 45
45 35
35 36
36 35
41 42
42 41
42 52
52 42
42 43
43 42
43 44
44 43
44 54
54 44
44 45
45 44
45 55
55 45
45 46
46 45
26 36
36 26
36 46
46 36
46 56
56 46
54 55
55 54
55 56
56 55
